ign,games,ORIG,ZSCORE,ZSCORE_REDUCED,ZSCORE_REDUCED_ASYM,confidence_factor_low,confidence_factor_high
Wade,11.000,986.000,842.494,907.072,959.691,0.550,0.183
Winner54.NB,5.000,1285.000,678.126,1133.281,1234.427,0.250,0.083
Winner_54,36.000,1352.000,1277.190,1277.190,1307.114,1.000,0.600
Winter,5.000,1386.000,1166.611,1331.153,1367.718,0.250,0.083
Yeahboiiiiii,25.000,1403.000,1561.966,1561.966,1561.966,1.000,0.417
YoPapi,5.000,986.000,830.896,947.224,973.075,0.250,0.083
bathsalts11,10.000,880.000,954.159,917.079,917.079,0.500,0.167
bobthecookie123,5.000,514.000,869.305,602.826,602.826,0.250,0.083
jwam2_SAO,29.000,669.000,801.973,801.973,801.973,1.000,0.483
neeeks,17.000,1081.000,1052.423,1056.710,1072.903,0.850,0.283
one_spicy_Libra,5.000,400.000,643.763,460.941,460.941,0.250,0.083
portermac,14.000,993.000,944.071,958.750,981.583,0.700,0.233
shreddymac.nb,10.000,1210.000,1274.804,1242.402,1242.402,0.500,0.167
stuje1,10.000,909.000,851.611,880.305,899.435,0.500,0.167
tinywatermelon,5.000,1299.000,804.356,1175.339,1257.780,0.250,0.083
vipxace,44.000,1016.000,942.805,942.805,962.324,1.000,0.733
xNeatway,10.000,1418.000,1624.525,1521.262,1521.262,0.500,0.167
xReturn,5.000,780.000,806.513,786.628,786.628,0.250,0.083
xWhisper,5.000,589.000,1038.150,701.288,701.288,0.250,0.083
